source,chunk_id,text
aasld_hcv_guidance_2023_cleaned.txt,10,"health outcomes for HCV-infected persons, to the optimal treatment regimen in particular patient situations. Recommendations are evidence based and rapidly updated as new data from peer-reviewed research become available. For each treatment option, recommendations reflect the best possible management for a given patient and a given point of disease progression. Recommendations are rated with regard to the level of the evidence and strength of the recommendation."
aasld_hcv_guidance_2023_cleaned.txt,11,"evidence based and rapidly updated as new data from peer-reviewed research become available. For each treatment option, recommendations reflect the best possible management for a given patient and a given point of disease progression. Recommendations are rated with regard to the level of the evidence and strength of the recommendation. The AASLD/IDSA guidance on hepatitis C is supported by the membership- based societies and not by pharmaceutical companies or other commercial interests."
aasld_hcv_guidance_2023_cleaned.txt,12,management for a given patient and a given point of disease progression. Recommendations are rated with regard to the level of the evidence and strength of the recommendation. The AASLD/IDSA guidance on hepatitis C is supported by the membership- based societies and not by pharmaceutical companies or other commercial interests. The governing boards of AASLD and IDSA have appointed an oversight committee of 4 co-chairs and selected panel members from the societies.
aasld_hcv_guidance_2023_cleaned.txt,13,evidence and strength of the recommendation. The AASLD/IDSA guidance on hepatitis C is supported by the membership- based societies and not by pharmaceutical companies or other commercial interests. The governing boards of AASLD and IDSA have appointed an oversight committee of 4 co-chairs and selected panel members from the societies. This guidance should be considered a living document in that the recommendations are updated frequently as new information and treatments become available.
aasld_hcv_guidance_2023_cleaned.txt,14,pharmaceutical companies or other commercial interests. The governing boards of AASLD and IDSA have appointed an oversight committee of 4 co-chairs and selected panel members from the societies. This guidance should be considered a living document in that the recommendations are updated frequently as new information and treatments become available. This continually evolving report provides guidance on FDA-approved regimens.
aasld_hcv_guidance_2023_cleaned.txt,15,"of AASLD and IDSA have appointed an oversight committee of 4 co-chairs and selected panel members from the societies. This guidance should be considered a living document in that the recommendations are updated frequently as new information and treatments become available. This continually evolving report provides guidance on FDA-approved regimens. At times, it may also recommend off-label use of certain drugs or tests, or provide guidance for regimens not yet approved by the FDA."
aasld_hcv_guidance_2023_cleaned.txt,16,"a living document in that the recommendations are updated frequently as new information and treatments become available. This continually evolving report provides guidance on FDA-approved regimens. At times, it may also recommend off-label use of certain drugs or tests, or provide guidance for regimens not yet approved by the FDA. Readers should consult prescribing information and other resources for further information."
aasld_hcv_guidance_2023_cleaned.txt,17,"new information and treatments become available. This continually evolving report provides guidance on FDA-approved regimens. At times, it may also recommend off-label use of certain drugs or tests, or provide guidance for regimens not yet approved by the FDA. Readers should consult prescribing information and other resources for further information. In the future, treatment recommendations may be further guided by data from cost-effectiveness studies."
aasld_hcv_guidance_2023_cleaned.txt,18,"regimens. At times, it may also recommend off-label use of certain drugs or tests, or provide guidance for regimens not yet approved by the FDA. Readers should consult prescribing information and other resources for further information. In the future, treatment recommendations may be further guided by data from cost-effectiveness studies. Last update: November 6, 2019 HCV Guidance: Recommendations for Testing, Managing, and Treating Hepatitis C | © 2014-2023 AASLD and IDSA v2023.1 Page 1 of 1 Methods Published on HCV Guidance (https://www.hcvguidelines.org) Methods The guidance was developed by a panel of HCV experts in the fields of hepatology and infectious diseases using an evidence-based review of information that is largely available to healthcare practitioners."
aasld_hcv_guidance_2023_cleaned.txt,19,C | © 2014-2023 AASLD and IDSA v2023.1 Page 1 of 1 Methods Published on HCV Guidance (https://www.hcvguidelines.org) Methods The guidance was developed by a panel of HCV experts in the fields of hepatology and infectious diseases using an evidence-based review of information that is largely available to healthcare practitioners. The processes and detailed methods for developing the guidance are detailed in Methods Table 1.
aasld_hcv_guidance_2023_cleaned.txt,20,"HCV Guidance (https://www.hcvguidelines.org) Methods The guidance was developed by a panel of HCV experts in the fields of hepatology and infectious diseases using an evidence-based review of information that is largely available to healthcare practitioners. The processes and detailed methods for developing the guidance are detailed in Methods Table 1. Recommendations are rated according to the strength of the recommendation and quality of the supporting evidence (see Methods Table 2) (AASLD-IDSA, 2015)."
aasld_hcv_guidance_2023_cleaned.txt,21,"using an evidence-based review of information that is largely available to healthcare practitioners. The processes and detailed methods for developing the guidance are detailed in Methods Table 1. Recommendations are rated according to the strength of the recommendation and quality of the supporting evidence (see Methods Table 2) (AASLD-IDSA, 2015). Commonly used abbreviations are defined in Methods Table 3."
aasld_hcv_guidance_2023_cleaned.txt,22,"available to healthcare practitioners. The processes and detailed methods for developing the guidance are detailed in Methods Table 1. Recommendations are rated according to the strength of the recommendation and quality of the supporting evidence (see Methods Table 2) (AASLD-IDSA, 2015). Commonly used abbreviations are defined in Methods Table 3. The panel regularly reviews available data to determine whether a regimen should be classified as recommended, alternative, or not recommended for particular patient subgroups."
aasld_hcv_guidance_2023_cleaned.txt,23,"the strength of the recommendation and quality of the supporting evidence (see Methods Table 2) (AASLD-IDSA, 2015). Commonly used abbreviations are defined in Methods Table 3. The panel regularly reviews available data to determine whether a regimen should be classified as recommended, alternative, or not recommended for particular patient subgroups. Recommended regimens are those that are favored for most patients in a given subgroup based on optimal efficacy, favorable tolerability and toxicity profiles, treatment duration, and pill burden."
aasld_hcv_guidance_2023_cleaned.txt,24,"regularly reviews available data to determine whether a regimen should be classified as recommended, alternative, or not recommended for particular patient subgroups. Recommended regimens are those that are favored for most patients in a given subgroup based on optimal efficacy, favorable tolerability and toxicity profiles, treatment duration, and pill burden. Alternative regimens are those that are effective but, relative to recommended regimens, have potential disadvantages, limitations for use in certain patient populations, or less supporting data than recommended regimens."
aasld_hcv_guidance_2023_cleaned.txt,25,"for most patients in a given subgroup based on optimal efficacy, favorable tolerability and toxicity profiles, treatment duration, and pill burden. Alternative regimens are those that are effective but, relative to recommended regimens, have potential disadvantages, limitations for use in certain patient populations, or less supporting data than recommended regimens. In certain circumstances, an alternative regimen may be optimal for a specific patient situation."
aasld_hcv_guidance_2023_cleaned.txt,26,"toxicity profiles, treatment duration, and pill burden. Alternative regimens are those that are effective but, relative to recommended regimens, have potential disadvantages, limitations for use in certain patient populations, or less supporting data than recommended regimens. In certain circumstances, an alternative regimen may be optimal for a specific patient situation. Not recommended regimens are clearly inferior to recommended or alternative regimens due to factors such as lower efficacy, unfavorable tolerability and toxicity, longer treatment duration, and/or higher pill burden."
aasld_hcv_guidance_2023_cleaned.txt,27,"or less supporting data than recommended regimens. In certain circumstances, an alternative regimen may be optimal for a specific patient situation. Not recommended regimens are clearly inferior to recommended or alternative regimens due to factors such as lower efficacy, unfavorable tolerability and toxicity, longer treatment duration, and/or higher pill burden. Unless otherwise indicated, such regimens should not be administered to patients with HCV infection."
aasld_hcv_guidance_2023_cleaned.txt,28,"be optimal for a specific patient situation. Not recommended regimens are clearly inferior to recommended or alternative regimens due to factors such as lower efficacy, unfavorable tolerability and toxicity, longer treatment duration, and/or higher pill burden. Unless otherwise indicated, such regimens should not be administered to patients with HCV infection. Last update: November 6, 2019 HCV Guidance: Recommendations for Testing, Managing, and Treating Hepatitis C | © 2014-2023 AASLD and IDSA v2023.1 Page 1 of 1 Table 1."
aasld_hcv_guidance_2023_cleaned.txt,29,"toxicity, longer treatment duration, and/or higher pill burden. Unless otherwise indicated, such regimens should not be administered to patients with HCV infection. Last update: November 6, 2019 HCV Guidance: Recommendations for Testing, Managing, and Treating Hepatitis C | © 2014-2023 AASLD and IDSA v2023.1 Page 1 of 1 Table 1. Summary of the Process and Methods for the Guidance Devel Published on HCV Guidance (https://www.hcvguidelines.org) Table 1."
aasld_hcv_guidance_2023_cleaned.txt,30,"to patients with HCV infection. Last update: November 6, 2019 HCV Guidance: Recommendations for Testing, Managing, and Treating Hepatitis C | © 2014-2023 AASLD and IDSA v2023.1 Page 1 of 1 Table 1. Summary of the Process and Methods for the Guidance Devel Published on HCV Guidance (https://www.hcvguidelines.org) Table 1. Summary of the Process and Methods for the Guidance Development Topic Description Statement of need Increased awareness of the rising number of complications of hepatitis C virus (HCV) infection, the recent screening initiatives by the Centers for Disease Control and Prevention (CDC) and US Preventive Services Task Force (USPSTF), and the rapid evolution of highly effective antiviral therapy for HCV infection have driven a need for timely guidance on how new developments change practice for healthcare professionals."
aasld_hcv_guidance_2023_cleaned.txt,31,"(HCV) infection, the recent screening initiatives by the Centers for Disease Control and Prevention (CDC) and US Preventive Services Task Force (USPSTF), and the rapid evolution of highly effective antiviral therapy for HCV infection have driven a need for timely guidance on how new developments change practice for healthcare professionals. Goal of the guidance The goal of the guidance is to provide up-to-date recommendations to healthcare practitioners on the optimal screening, management, and treatment for persons with HCV infection in the United States, considering the best available evidence."
aasld_hcv_guidance_2023_cleaned.txt,32,"for timely guidance on how new developments change practice for healthcare professionals. Goal of the guidance The goal of the guidance is to provide up-to-date recommendations to healthcare practitioners on the optimal screening, management, and treatment for persons with HCV infection in the United States, considering the best available evidence. The guidance is updated regularly as new data, information, and tools and treatments become available."
aasld_hcv_guidance_2023_cleaned.txt,33,"guidance The goal of the guidance is to provide up-to-date recommendations to healthcare practitioners on the optimal screening, management, and treatment for persons with HCV infection in the United States, considering the best available evidence. The guidance is updated regularly as new data, information, and tools and treatments become available. Panel members Panel members are chosen based on their expertise in the diagnosis, management, and treatment of HCV infection."
aasld_hcv_guidance_2023_cleaned.txt,34,"and treatment for persons with HCV infection in the United States, considering the best available evidence. The guidance is updated regularly as new data, information, and tools and treatments become available. Panel members Panel members are chosen based on their expertise in the diagnosis, management, and treatment of HCV infection. Members from the fields of hepatology and infectious diseases are included, as well as HCV community representatives."
aasld_hcv_guidance_2023_cleaned.txt,35,"guidance is updated regularly as new data, information, and tools and treatments become available. Panel members Panel members are chosen based on their expertise in the diagnosis, management, and treatment of HCV infection. Members from the fields of hepatology and infectious diseases are included, as well as HCV community representatives. Members are appointed by the sponsor societies after vetting by an appointed sponsor society committee."
aasld_hcv_guidance_2023_cleaned.txt,36,"members Panel members are chosen based on their expertise in the diagnosis, management, and treatment of HCV infection. Members from the fields of hepatology and infectious diseases are included, as well as HCV community representatives. Members are appointed by the sponsor societies after vetting by an appointed sponsor society committee. The panel chairs are appointed by the society boards, 2 each from the sponsor societies."
aasld_hcv_guidance_2023_cleaned.txt,37,"of HCV infection. Members from the fields of hepatology and infectious diseases are included, as well as HCV community representatives. Members are appointed by the sponsor societies after vetting by an appointed sponsor society committee. The panel chairs are appointed by the society boards, 2 each from the sponsor societies. All panel chairs and members serve as uncompensated volunteers for defined terms (2 to 3 years), which may be renewed based on panel needs."
aasld_hcv_guidance_2023_cleaned.txt,38,"the sponsor societies after vetting by an appointed sponsor society committee. The panel chairs are appointed by the society boards, 2 each from the sponsor societies. All panel chairs and members serve as uncompensated volunteers for defined terms (2 to 3 years), which may be renewed based on panel needs. Conflict of interest management The panel was established with the goal of having no personal (ie, direct payment to the individual) financial conflicts of interest among its chairs and among fewer than half of its panel members."
aasld_hcv_guidance_2023_cleaned.txt,39,"terms (2 to 3 years), which may be renewed based on panel needs. Conflict of interest management The panel was established with the goal of having no personal (ie, direct payment to the individual) financial conflicts of interest among its chairs and among fewer than half of its panel members. All potential panel members are asked to disclose any personal relationship(s) with pharmaceutical, biotechnology, medical device, or health-related companies or ventures that may result in financial benefit."
aasld_hcv_guidance_2023_cleaned.txt,40,"personal (ie, direct payment to the individual) financial conflicts of interest among its chairs and among fewer than half of its panel members. All potential panel members are asked to disclose any personal relationship(s) with pharmaceutical, biotechnology, medical device, or health-related companies or ventures that may result in financial benefit. Disclosures are obtained prior to the panel member appointments and for 1 year prior to the initiation of their work on the panel."
aasld_hcv_guidance_2023_cleaned.txt,41,"All potential panel members are asked to disclose any personal relationship(s) with pharmaceutical, biotechnology, medical device, or health-related companies or ventures that may result in financial benefit. Disclosures are obtained prior to the panel member appointments and for 1 year prior to the initiation of their work on the panel. Full transparency of potential financial conflicts is an important goal for the guidance that best ensures the credibility of the process and the recommendations."
aasld_hcv_guidance_2023_cleaned.txt,42,"in financial benefit. Disclosures are obtained prior to the panel member appointments and for 1 year prior to the initiation of their work on the panel. Full transparency of potential financial conflicts is an important goal for the guidance that best ensures the credibility of the process and the recommendations. Individuals are also asked to disclose funding of HCV-related research activities to their institutional division, department, or practice group."
aasld_hcv_guidance_2023_cleaned.txt,43,"initiation of their work on the panel. Full transparency of potential financial conflicts is an important goal for the guidance that best ensures the credibility of the process and the recommendations. Individuals are also asked to disclose funding of HCV-related research activities to their institutional division, department, or practice group. Disclosures are reviewed by the HCV guidance chairs, who make assessments based on the conflict-of-interest policies of the sponsoring organizations (AASLD and IDSA)."
aasld_hcv_guidance_2023_cleaned.txt,44,"the credibility of the process and the recommendations. Individuals are also asked to disclose funding of HCV-related research activities to their institutional division, department, or practice group. Disclosures are reviewed by the HCV guidance chairs, who make assessments based on the conflict-of-interest policies of the sponsoring organizations (AASLD and IDSA). Personal and institutional financial relationships with commercial entities that have products in the field of hepatitis C are assessed."
aasld_hcv_guidance_2023_cleaned.txt,45,"to their institutional division, department, or practice group. Disclosures are reviewed by the HCV guidance chairs, who make assessments based on the conflict-of-interest policies of the sponsoring organizations (AASLD and IDSA). Personal and institutional financial relationships with commercial entities that have products in the field of hepatitis C are assessed. The following relationships are prohibited during membership on the guidance panel and are grounds for exclusion from the panel: HCV Guidance: Recommendations for Testing, Managing, and Treating Hepatitis C | © 2014-2023 AASLD and IDSA v2023.1 Page 1 of 3 Table 1."
aasld_hcv_guidance_2023_cleaned.txt,46,"in the field of hepatitis C are assessed. The following relationships are prohibited during membership on the guidance panel and are grounds for exclusion from the panel: HCV Guidance: Recommendations for Testing, Managing, and Treating Hepatitis C | © 2014-2023 AASLD and IDSA v2023.1 Page 1 of 3 Table 1. Summary of the Process and Methods for the Guidance Devel Published on HCV Guidance (https://www.hcvguidelines.org) Topic Description Employment with any commercial company with products in the field of hepatitis C An ownership interest in a commercial entity that produces hepatitis C products Participation in/payment for promotional or marketing activities sponsored by companies with HCV-related products including non-CME educational activities or speakers bureaus for audiences outside of the company Participation in any single-funder CME activity Participation on a marketing or medical affairs advisory board The following relationships or activities are reportable but do not merit exclusion: Commercial support of research that is paid to an organization or practice group Due to the rapidly evolving nature of the subject matter, having individuals with expertise in the particular clinical topic is crucial to developing the highest-quality and most- informed recommendations."
aasld_hcv_guidance_2023_cleaned.txt,47,"activities are reportable but do not merit exclusion: Commercial support of research that is paid to an organization or practice group Due to the rapidly evolving nature of the subject matter, having individuals with expertise in the particular clinical topic is crucial to developing the highest-quality and most- informed recommendations. To that end, research support from commercial entities is not considered grounds for panel exclusion (an unresolvable conflict) if the funding of the research was paid to the institution or practice group, as opposed to the individual."
aasld_hcv_guidance_2023_cleaned.txt,48,"particular clinical topic is crucial to developing the highest-quality and most- informed recommendations. To that end, research support from commercial entities is not considered grounds for panel exclusion (an unresolvable conflict) if the funding of the research was paid to the institution or practice group, as opposed to the individual. In the instance of someone conducting clinical research in a community practice, research funds to the group practice are acceptable."
aasld_hcv_guidance_2023_cleaned.txt,49,"entities is not considered grounds for panel exclusion (an unresolvable conflict) if the funding of the research was paid to the institution or practice group, as opposed to the individual. In the instance of someone conducting clinical research in a community practice, research funds to the group practice are acceptable. Participation on commercial company scientific advisory boards Participation in advisory boards, data safety monitoring boards, or in consultancies sponsored by the research arm of a company (eg, study design or data safety monitoring board) is considered a potential personal conflict that should be reported but is not considered a criterion for exclusion."
aasld_hcv_guidance_2023_cleaned.txt,50,"commercial company scientific advisory boards Participation in advisory boards, data safety monitoring boards, or in consultancies sponsored by the research arm of a company (eg, study design or data safety monitoring board) is considered a potential personal conflict that should be reported but is not considered a criterion for exclusion. CME honorarium earned in excess of $5000 (total per year, including travel costs) No need to report if total honorarium is less than $5000."
aasld_hcv_guidance_2023_cleaned.txt,51,"(eg, study design or data safety monitoring board) is considered a potential personal conflict that should be reported but is not considered a criterion for exclusion. CME honorarium earned in excess of $5000 (total per year, including travel costs) No need to report if total honorarium is less than $5000. The HCV guidance chairs achieved a majority of panel members with no personal financial interests."
aasld_hcv_guidance_2023_cleaned.txt,52,"should be reported but is not considered a criterion for exclusion. CME honorarium earned in excess of $5000 (total per year, including travel costs) No need to report if total honorarium is less than $5000. The HCV guidance chairs achieved a majority of panel members with no personal financial interests. Panel members are asked to inform the group of any changes to their disclosure status and are given the opportunity to recuse themselves (or be recused) from the discussion where a perceived conflict of interest that cannot be resolved exists."
aasld_hcv_guidance_2023_cleaned.txt,53,a majority of panel members with no personal financial interests. Panel members are asked to inform the group of any changes to their disclosure status and are given the opportunity to recuse themselves (or be recused) from the discussion where a perceived conflict of interest that cannot be resolved exists. Financial disclosures for each panel member can be accessed here.
aasld_hcv_guidance_2023_cleaned.txt,54,"Panel members are asked to inform the group of any changes to their disclosure status and are given the opportunity to recuse themselves (or be recused) from the discussion where a perceived conflict of interest that cannot be resolved exists. Financial disclosures for each panel member can be accessed here. Intended audience Medical practitioners, especially those who provide care to or manage patients with hepatitis C, are the intended audience of the guidance."
aasld_hcv_guidance_2023_cleaned.txt,55,"(or be recused) from the discussion where a perceived conflict of interest that cannot be resolved exists. Financial disclosures for each panel member can be accessed here. Intended audience Medical practitioners, especially those who provide care to or manage patients with hepatitis C, are the intended audience of the guidance. Sponsors, funding, and collaborating partner AASLD and IDSA are the sponsors of the guidance and provide ongoing financial support."
aasld_hcv_guidance_2023_cleaned.txt,56,"for each panel member can be accessed here. Intended audience Medical practitioners, especially those who provide care to or manage patients with hepatitis C, are the intended audience of the guidance. Sponsors, funding, and collaborating partner AASLD and IDSA are the sponsors of the guidance and provide ongoing financial support. Grant support was sought and obtained from CDC for the initial gathering and review of evidence related to hepatitis C screening and testing recommendations and interventions to implement HCV screening in clinical settings."
aasld_hcv_guidance_2023_cleaned.txt,57,and collaborating partner AASLD and IDSA are the sponsors of the guidance and provide ongoing financial support. Grant support was sought and obtained from CDC for the initial gathering and review of evidence related to hepatitis C screening and testing recommendations and interventions to implement HCV screening in clinical settings. Evidence identification and collection The guidance is developed using an evidence-based review of information that is largely available to healthcare practitioners.
aasld_hcv_guidance_2023_cleaned.txt,58,"and obtained from CDC for the initial gathering and review of evidence related to hepatitis C screening and testing recommendations and interventions to implement HCV screening in clinical settings. Evidence identification and collection The guidance is developed using an evidence-based review of information that is largely available to healthcare practitioners. Data from the following sources are considered by panel members when making recommendations: research published in the peer-reviewed literature or HCV Guidance: Recommendations for Testing, Managing, and Treating Hepatitis C | © 2014-2023 AASLD and IDSA v2023.1 Page 2 of 3 Table 1."
aasld_hcv_guidance_2023_cleaned.txt,59,"that is largely available to healthcare practitioners. Data from the following sources are considered by panel members when making recommendations: research published in the peer-reviewed literature or HCV Guidance: Recommendations for Testing, Managing, and Treating Hepatitis C | © 2014-2023 AASLD and IDSA v2023.1 Page 2 of 3 Table 1. Summary of the Process and Methods for the Guidance Devel Published on HCV Guidance (https://www.hcvguidelines.org) Topic Description presented at major national or international scientific conferences; safety warnings from the US Food and Drug Administration (FDA) or other regulatory agencies or from manufacturers; drug interaction data; prescribing information from FDA-approved products; and registration data for new products under FDA review."
aasld_hcv_guidance_2023_cleaned.txt,60,"Devel Published on HCV Guidance (https://www.hcvguidelines.org) Topic Description presented at major national or international scientific conferences; safety warnings from the US Food and Drug Administration (FDA) or other regulatory agencies or from manufacturers; drug interaction data; prescribing information from FDA-approved products; and registration data for new products under FDA review. Press releases, unpublished reports, and personal communications are generally not considered."
aasld_hcv_guidance_2023_cleaned.txt,61,"national or international scientific conferences; safety warnings from the US Food and Drug Administration (FDA) or other regulatory agencies or from manufacturers; drug interaction data; prescribing information from FDA-approved products; and registration data for new products under FDA review. Press releases, unpublished reports, and personal communications are generally not considered. Literature searches are conducted regularly and before each major revision to ensure that the panel addresses all relevant published data."
aasld_hcv_guidance_2023_cleaned.txt,62,"from manufacturers; drug interaction data; prescribing information from FDA-approved products; and registration data for new products under FDA review. Press releases, unpublished reports, and personal communications are generally not considered. Literature searches are conducted regularly and before each major revision to ensure that the panel addresses all relevant published data. Medical subject headings and free text terms are combined to maximize retrieval of relevant citations from the PubMed, Scopus, EMBASE, and Web of Science databases."
aasld_hcv_guidance_2023_cleaned.txt,63,"communications are generally not considered. Literature searches are conducted regularly and before each major revision to ensure that the panel addresses all relevant published data. Medical subject headings and free text terms are combined to maximize retrieval of relevant citations from the PubMed, Scopus, EMBASE, and Web of Science databases. To be considered for inclusion, articles are required to have been published in English from 2010 to the present."
aasld_hcv_guidance_2023_cleaned.txt,64,"panel addresses all relevant published data. Medical subject headings and free text terms are combined to maximize retrieval of relevant citations from the PubMed, Scopus, EMBASE, and Web of Science databases. To be considered for inclusion, articles are required to have been published in English from 2010 to the present. Data from abstracts presented at national or international scientific conferences are also considered."
aasld_hcv_guidance_2023_cleaned.txt,65,"are combined to maximize retrieval of relevant citations from the PubMed, Scopus, EMBASE, and Web of Science databases. To be considered for inclusion, articles are required to have been published in English from 2010 to the present. Data from abstracts presented at national or international scientific conferences are also considered. Rating of the evidence and re commendations The guidance is presented in the form of recommendations."
aasld_hcv_guidance_2023_cleaned.txt,66,"Science databases. To be considered for inclusion, articles are required to have been published in English from 2010 to the present. Data from abstracts presented at national or international scientific conferences are also considered. Rating of the evidence and re commendations The guidance is presented in the form of recommendations. Each recommendation is rated in terms of the level of the evidence and strength of the recommendation using a modification of the scale adapted from the American College of Cardiology and the American Heart Association Practice Guidelines (AHA, 2011); (Shiffman, 2003)."
aasld_hcv_guidance_2023_cleaned.txt,67,"The guidance is presented in the form of recommendations. Each recommendation is rated in terms of the level of the evidence and strength of the recommendation using a modification of the scale adapted from the American College of Cardiology and the American Heart Association Practice Guidelines (AHA, 2011); (Shiffman, 2003). A summary of the supporting (and conflicting) evidence follows each recommendation or set of recommendations."
aasld_hcv_guidance_2023_cleaned.txt,68,"of the level of the evidence and strength of the recommendation using a modification of the scale adapted from the American College of Cardiology and the American Heart Association Practice Guidelines (AHA, 2011); (Shiffman, 2003). A summary of the supporting (and conflicting) evidence follows each recommendation or set of recommendations. Data review and synthesis and preparation of r ecommendation s and supporting information Draft recommendations are developed by subgroups of the full panel with interest and expertise in particular sections of the guidance."
aasld_hcv_guidance_2023_cleaned.txt,69,"(Shiffman, 2003). A summary of the supporting (and conflicting) evidence follows each recommendation or set of recommendations. Data review and synthesis and preparation of r ecommendation s and supporting information Draft recommendations are developed by subgroups of the full panel with interest and expertise in particular sections of the guidance. Following development of supporting text and references, the sections are reviewed by the full panel and chairs."
aasld_hcv_guidance_2023_cleaned.txt,70,"Data review and synthesis and preparation of r ecommendation s and supporting information Draft recommendations are developed by subgroups of the full panel with interest and expertise in particular sections of the guidance. Following development of supporting text and references, the sections are reviewed by the full panel and chairs. A penultimate draft is submitted to the AASLD and IDSA governing boards for final review and approval before posting online on the website, www.hcvguidelines.org."
aasld_hcv_guidance_2023_cleaned.txt,71,"interest and expertise in particular sections of the guidance. Following development of supporting text and references, the sections are reviewed by the full panel and chairs. A penultimate draft is submitted to the AASLD and IDSA governing boards for final review and approval before posting online on the website, www.hcvguidelines.org. Subgroups of the panel meet regularly by conference call as needed to update recommendations and supporting evidence."
aasld_hcv_guidance_2023_cleaned.txt,72,"sections are reviewed by the full panel and chairs. A penultimate draft is submitted to the AASLD and IDSA governing boards for final review and approval before posting online on the website, www.hcvguidelines.org. Subgroups of the panel meet regularly by conference call as needed to update recommendations and supporting evidence. Updates may be prompted by new publications or presentations at major national or international scientific conferences, new drug approvals (or new indications, dosing formulations, or frequency of dosing), new safety warnings, or other information that may have a substantial impact on the clinical care of patients."
aasld_hcv_guidance_2023_cleaned.txt,73,"recommendations and supporting evidence. Updates may be prompted by new publications or presentations at major national or international scientific conferences, new drug approvals (or new indications, dosing formulations, or frequency of dosing), new safety warnings, or other information that may have a substantial impact on the clinical care of patients. Updates and changes to the guidance are indicated by a notice of update posted on the home page."
aasld_hcv_guidance_2023_cleaned.txt,74,"scientific conferences, new drug approvals (or new indications, dosing formulations, or frequency of dosing), new safety warnings, or other information that may have a substantial impact on the clinical care of patients. Updates and changes to the guidance are indicated by a notice of update posted on the home page. Abbreviations Commonly used abbreviations in the text are defined in Methods Table 3."
